manual_rating,domain,visit_count,sample_url,sample_title
Neutrel,accounts.google.com,370,https://accounts.google.com/o/oauth2/v2/auth?nonce=be7a58a5-b6a6-49c4-9980-be5024fe2a33&prompt=consent+select_account&state=0b57565a-248a-4746-afde-e01a37678826&redirect_uri=https%3A%2F%2Fbitly.com%2Fa%2Fgoogle-callback&response_type=code&client_id=489890094529-ueegekuf9mubvv4sc6bh57op2rkjok62.apps.googleusercontent.com&scope=openid+profile+email&display=page,Sign in - Google Accounts
Very Productive,cs.sfu.ca,336,https://www.cs.sfu.ca/~wsumner/teaching/373,CMPT 373: Software Development Methods
Very Productive,drupal.org,332,https://www.drupal.org/project/ckeditor_youtube,CKEditor Youtube | Drupal.org
Very Productive,canva.com,307,https://www.canva.com/,Home - Canva
Very Productive,calendly.com,276,https://calendly.com/,Free Online Appointment Scheduling Software | Calendly
Productive,app.slack.com,273,https://app.slack.com/client/T7RTCDAS2/D02EV6SDDUM/thread/C7R5FM25B-1618586272.198000,Slack | Carol Fedoruk | FaithTech
Neutrel,googleads.g.doubleclick.net,269,https://googleads.g.doubleclick.net/pagead/viewthroughconversion/995153884/?value=1.00&currency_code=USD&label=OfKoCPXz2VwQ3K_D2gM&guid=ON&script=0,
Productive,go.sfss.ca,257,https://go.sfss.ca/clubs/657/info,SFSS Go
Productive,replit.com,211,https://replit.com/,Home - Replit
Very Productive,portalberni.ca,197,https://portalberni.ca/user,User account | City of Port Alberni
Productive,app.bitly.com,176,https://app.bitly.com/bbt2/,Bitly | Link Management
Neutrel,twitter.com,175,https://twitter.com/home,Home / Twitter
Very Productive,sfu.ca,173,https://www.sfu.ca/computing/people/faculty/gregbaker.html,Greg Baker - Computing Science - Simon Fraser University
Very Productive,meet.google.com,169,https://meet.google.com/,Google Meet
Very Productive,albernicontinuingcare.ca,167,https://albernicontinuingcare.ca/,"Welcome to Alberni-Clayoquot Continuing Care Society (ACCCS) | Alberni-Clayoquot Continuing Care Society | Port Alberni, BC"
Productive,gmail.com,167,https://gmail.com/,Inbox (3) - nathantsai28@gmail.com - Gmail
Very Productive,hashilthsa.com,158,https://hashilthsa.com/,Ha-Shilth-Sa | Ha-Shilth-Sa Newspaper
Productive,740e3b98-3832-4229-b30f-da1a6fd944b9.id.repl.co,150,https://740e3b98-3832-4229-b30f-da1a6fd944b9.id.repl.co/,import_data.py - SFU Find Prof Schedules - Replit
Very Productive,cas.sfu.ca,149,https://cas.sfu.ca/cas/login?service=https%3A%2F%2Fcanvas.sfu.ca%2Flogin%2Fcas,Inbox
Very Productive,airtable.com,148,https://airtable.com/shrLkzYHjN4xU20nf,Airtable - #HACK2022 Resources
Very Productive,thegoodchoice.app:2083,143,"https://thegoodchoice.app:2083/cpsess8265044796/login/?session=thegc:FzAYHJsweRjDqEUV,970b8b0d39a7c7e00660853ec2fad0d0",cPanel - Main
Very Productive,vault.sfu.ca,139,https://vault.sfu.ca/,SFU Vault
Distracting,youtube.com,138,https://www.youtube.com/watch?v=r30xf9oAEfQ&feature=youtu.be,Data Management for First Nations - YouTube
Distracting,photos.google.com,135,https://photos.google.com/?tab=rq&authuser=0&pageId=none,Photos - Google Photos
Neutrel,bit.ly,134,https://bit.ly/,Bitly | Link Management
Very Productive,learning.oreilly.com,131,https://learning.oreilly.com/library/view/The-Pragmatic-Programmer/9780135956977/?ar,"The Pragmatic Programmer: your journey to mastery, 20th Anniversary Edition, 2nd Edition"
Very Productive,trello.com,130,https://trello.com/,#HACKVAN2021 | Trello
Very Productive,catchsalmon-ca.com,127,https://catchsalmon-ca.com/new/wp-login.php,Log In ‹ Slivers Charters Salmon Sports Fishing — WordPress
Very Productive,demo.thegoodchoice.app,126,https://demo.thegoodchoice.app/,We help Food Banks Empower Clients | The Good Choice App
Very Productive,my.freshbooks.com,120,https://my.freshbooks.com/,FreshBooks
Neutrel,idp.sfu.ca,120,https://idp.sfu.ca/idp/Authn/External?conversation=e1s1,Shibboleth IdP
